trade_date,open,high,low,close,vol,amount
2021-10-29 00:00:00,4915.731,5002.575,4840.77,4908.77,2.35135E+11,4.80346E+12
2021-11-30 00:00:00,4878.128,4935.489,4753.996,4832.026,2.99258E+11,6.42716E+12
2021-12-31 00:00:00,4831.889,5143.841,4823.925,4940.373,3.49373E+11,6.95932E+12
2022-01-28 00:00:00,4957.9835,4961.4527,4559.8331,4563.772,2.71784E+11,5.44868E+12
2022-02-28 00:00:00,4638.5754,4672.6535,4488.4763,4581.6459,2.16541E+11,4.15941E+12
2022-03-31 00:00:00,4597.855,4623.4312,3942.861,4222.5968,3.26088E+11,6.23663E+12
2022-04-29 00:00:00,4198.8191,4290.671,3757.0859,4016.241,2.66885E+11,4.64681E+12
2022-05-31 00:00:00,3995.3533,4096.1971,3808.5699,4091.5176,2.3584E+11,4.27592E+12
2022-06-30 00:00:00,4086.6177,4514.9968,4057.9135,4485.0108,3.5147E+11,6.95429E+12
2022-07-29 00:00:00,4489.5204,4530.3245,4160.8735,4170.1019,2.55493E+11,5.77395E+12
2022-08-31 00:00:00,4160.6478,4222.7866,4046.6225,4078.8402,2.44307E+11,5.55473E+12
2022-09-30 00:00:00,4066.1869,4128.1113,3801.2798,3804.8853,2.07065E+11,4.10294E+12
2022-10-31 00:00:00,3806.5596,3870.2155,3495.9509,3508.7034,1.71065E+11,3.48661E+12
2022-11-30 00:00:00,3519.8174,3877.6781,3517.6209,3853.0365,2.91839E+11,5.22955E+12
2022-12-30 00:00:00,3921.2954,4003.3178,3805.9487,3871.6338,2.36004E+11,4.28064E+12
2023-01-31 00:00:00,3864.8356,4268.1522,3831.245,4156.8578,1.79679E+11,3.63566E+12
2023-02-28 00:00:00,4170.1322,4207.4123,4026.4476,4069.4587,2.32626E+11,4.42287E+12
2023-03-31 00:00:00,4068.7331,4137.2525,3935.0161,4050.9257,3.48864E+11,5.99628E+12
2023-04-28 00:00:00,4059.6227,4169.6678,3925.436,4029.0858,3.14182E+11,6.27073E+12
2023-05-31 00:00:00,4013.4713,4092.8501,3781.4034,3798.5434,3.13957E+11,5.0635E+12
2023-06-30 00:00:00,3788.5902,3968.0128,3777.7752,3842.4516,2.41751E+11,4.6716E+12
2023-07-31 00:00:00,3853.2919,4064.3621,3798.8048,4014.6301,2.3514E+11,4.39498E+12
2023-08-31 00:00:00,4009.1831,4058.2431,3695.0309,3765.2678,2.77216E+11,4.79872E+12
2023-09-28 00:00:00,3778.9129,3854.2605,3664.7661,3689.5172,1.87417E+11,3.19744E+12
2023-10-31 00:00:00,3678.929,3711.4985,3450.6456,3572.5056,1.82554E+11,3.09875E+12
2023-11-30 00:00:00,3605.7576,3635.7897,3481.4515,3496.2028,2.1936E+11,3.66246E+12
2023-12-29 00:00:00,3494.2234,3494.2234,3283.9883,3431.1099,2.14233E+11,3.49029E+12
2024-01-31 00:00:00,3426.2684,3426.2684,3171.6329,3215.3518,2.86937E+11,4.28046E+12
2024-02-29 00:00:00,3202.2564,3521.6574,3108.3515,3516.0826,2.56699E+11,3.901E+12
2024-03-29 00:00:00,3515.0587,3610.7389,3489.3861,3537.4843,3.0314E+11,5.38461E+12
2024-04-30 00:00:00,3551.5815,3645.8229,3470.0611,3604.3943,3.10513E+11,4.76318E+12
2024-05-31 00:00:00,3654.0485,3703.0287,3579.9247,3579.9247,2.87391E+11,4.45113E+12
2024-06-28 00:00:00,3577.3798,3625.0109,3440.6464,3461.657,2.37882E+11,3.89212E+12
2024-07-31 00:00:00,3458.2636,3545.3383,3352.8043,3442.0844,2.87668E+11,4.52371E+12
2024-08-30 00:00:00,3443.1397,3448.3361,3269.5288,3321.4323,2.32762E+11,3.41385E+12
2024-09-30 00:00:00,3307.5432,4038.6968,3145.7908,4017.8545,2.93855E+11,4.42225E+12
