Date,Turnover,Volume
2025-07-31 00:00:00,8301859.756,4749440
2025-08-31 00:00:00,10916722.72,5108802
2025-09-30 00:00:00,14584936.24,5530687
2025-10-31 00:00:00,10666603.3,4457394
2025-11-30 00:00:00,9276049.761,3906292
2025-12-31 00:00:00,9809104.504,3969094
2026-01-31 00:00:00,14720699.86,6011777
2026-02-28 00:00:00,7736294.709,3229456
2026-03-31 00:00:00,12634837.95,5983551
2026-04-30 00:00:00,12263802,4315313
2026-05-31 00:00:00,14948351.41,4924532
2026-06-30 00:00:00,3272927.332,1146711
